dmel_cre_id	dtei	d_simulans	d_lutescens	dsuz	pattern_class	tier	discordant_species	discordant_state	consensus_state	n_consensus_species	group_name	group_species	n_group_species
DMEL_CRE_00003	turnover_candidate	no_detected_CRE	no_detected_CRE	no_detected_CRE	detection_contrast	tier2	dtei	turnover_candidate	no_detected_CRE	3	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00005	no_detected_CRE	turnover_candidate	no_detected_CRE	no_detected_CRE	detection_contrast	tier2	d_simulans	turnover_candidate	no_detected_CRE	3	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00009	no_detected_CRE	present	present	present	detection_contrast	tier2	dtei	no_detected_CRE	present	3	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00010	present	no_detected_CRE	no_detected_CRE	no_detected_CRE	detection_contrast	tier2	dtei	present	no_detected_CRE	3	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00023	no_detected_CRE	no_detected_CRE	no_detected_CRE	present	detection_contrast	tier2	dsuz	present	no_detected_CRE	3	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00024	no_detected_CRE	no_detected_CRE	present	no_detected_CRE	detection_contrast	tier2	d_lutescens	present	no_detected_CRE	3	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00027	no_detected_CRE	turnover_candidate	no_detected_CRE	no_detected_CRE	detection_contrast	tier2	d_simulans	turnover_candidate	no_detected_CRE	3	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00034	present	present	present	no_detected_CRE	detection_contrast	tier2	dsuz	no_detected_CRE	present	3	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00035	no_detected_CRE	present	present	present	detection_contrast	tier2	dtei	no_detected_CRE	present	3	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00041	present	no_detected_CRE	no_detected_CRE	no_detected_CRE	detection_contrast	tier2	dtei	present	no_detected_CRE	3	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00043	no_detected_CRE	no_detected_CRE	no_detected_CRE	turnover_candidate	detection_contrast	tier2	dsuz	turnover_candidate	no_detected_CRE	3	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00045	no_detected_CRE	turnover_candidate	no_detected_CRE	no_detected_CRE	detection_contrast	tier2	d_simulans	turnover_candidate	no_detected_CRE	3	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00046	no_detected_CRE	present	no_detected_CRE	no_detected_CRE	detection_contrast	tier2	d_simulans	present	no_detected_CRE	3	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00051	no_detected_CRE	turnover_candidate	no_detected_CRE	no_detected_CRE	detection_contrast	tier2	d_simulans	turnover_candidate	no_detected_CRE	3	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
