dmel_cre_id	dazt	d_affinis	dmir	dper	pattern_class	tier	discordant_species	discordant_state	consensus_state	n_consensus_species	group_name	group_species	n_group_species
DMEL_CRE_00001	present	uncertain	uncertain	uncertain	other_singleton_contrast	tier3	dazt	present	uncertain	3	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00008	uncertain	turnover_candidate	turnover_candidate	turnover_candidate	other_singleton_contrast	tier3	dazt	uncertain	turnover_candidate	3	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00012	uncertain	uncertain	no_detected_CRE	uncertain	other_singleton_contrast	tier3	dmir	no_detected_CRE	uncertain	3	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00015	turnover_candidate	uncertain	uncertain	uncertain	other_singleton_contrast	tier3	dazt	turnover_candidate	uncertain	3	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00018	uncertain	uncertain	turnover_candidate	uncertain	other_singleton_contrast	tier3	dmir	turnover_candidate	uncertain	3	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00052	present	present	present	uncertain	other_singleton_contrast	tier3	dper	uncertain	present	3	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00056	turnover_candidate	uncertain	turnover_candidate	turnover_candidate	other_singleton_contrast	tier3	d_affinis	uncertain	turnover_candidate	3	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00075	uncertain	no_detected_CRE	uncertain	uncertain	other_singleton_contrast	tier3	d_affinis	no_detected_CRE	uncertain	3	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00081	uncertain	uncertain	no_detected_CRE	uncertain	other_singleton_contrast	tier3	dmir	no_detected_CRE	uncertain	3	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00090	uncertain	no_detected_CRE	uncertain	uncertain	other_singleton_contrast	tier3	d_affinis	no_detected_CRE	uncertain	3	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
