group_name	focal_species	comparison_species
rufa_group	druf	dkik|dbun|dbir|d_serrata
immigrans_group	dimm	dfor|dsul|dnas
obscura_group	dsub	dbif|dobs
azteca_affinis_miranda_group	dazt	d_affinis|dmir|dper
teissieri_group	dtei	d_simulans|d_lutescens|dsuz
repleta_group	d_repleta	d_buzzatii|d_mojavensis|d_arizonae
